name,compiler,type,threads,input,mpxbtnum,dtlb_store_misses,cycles,dtlb_loads,dtlb_load_misses,instructions,time,branch_misses,mpxerrors,dtlb_stores,branch_instructions,minor_faults,major_faults
mallocs,icc,mpx,1,native,,1269450,4914250850,2704026731,486236,12803057873,1.313306095,660032,,2018118640,2542440154,393777,0
mallocs,icc,mpx,1,native,,1230463,4949235934,2693371218,535886,12818425237,1.330997425,603869,,2030398125,2541333832,394132,0
mallocs,icc,mpx,1,native,,1287013,4906261990,2704490628,476534,12812163859,1.316967149,628524,,2019898663,2552038769,393891,0
mallocs,icc,mpx,1,native,,1213389,4933679077,2696777255,447893,12789648126,1.320342155,672490,,2030394929,2535465585,393905,0
mallocs,icc,mpx,1,native,,1271360,4948710736,2689253583,484544,12844286147,1.335437345,651564,,2021496422,2549084501,394034,0
struct,icc,mpx,1,native,,5457,1737132507,416728809,2215,2538219104,0.465457067,67690,,543268579,141871360,1336,0
struct,icc,mpx,1,native,,7546,1309371313,413582114,4088,2604431321,0.34609063,68239,,542561580,148416643,1534,0
struct,icc,mpx,1,native,,7916,1308030082,415554382,1555,2599814406,0.345919161,67327,,542042026,148344026,1642,0
struct,icc,mpx,1,native,,6452,1318283738,414315597,1522,2611389701,0.354885994,71694,,533935581,149107601,1508,0
struct,icc,mpx,1,native,,5992,1307160856,408486031,2095,2600671847,0.34606744,64659,,541804570,146877039,1373,0
struct,icc,mpx,1,native,,7031,1307919536,406195786,1464,2599700065,0.345714666,66330,,541226665,148343941,1487,0
struct,icc,mpx,1,native,,4162,1321696386,416258712,1632,2595994843,0.355471207,73710,,546711340,148519180,1665,0
struct,icc,mpx,1,native,,8527,1305856201,408559918,2167,2601463841,0.345216476,65868,,541545938,147056330,1653,0
struct,icc,mpx,1,native,,5616,1316188224,413017595,1458,2600158065,0.34802762,68081,,542853387,148254856,1329,0
struct,icc,mpx,1,native,,4033,1317454855,416542746,1719,2588635212,0.355080178,69408,,547517493,147768753,1393,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2199,737482337,9376579,1647,1789304353,0.203355638,64376,,366752595,185765187,1024,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2464,763191387,9251962,1043,1741488354,0.208417227,64384,,357519930,182250691,945,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2160,734690118,9280139,1589,1786399587,0.203077689,67095,,366769228,185604521,915,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2453,737440470,9454422,1018,1764242137,0.206385346,65233,,361391987,183009508,1141,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2158,728351862,9326375,2747,1770015863,0.202769583,64890,,361596212,183590060,969,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2463,730036454,9160303,1225,1773557563,0.203332162,64854,,360946372,184021601,816,0
arraywrite,icc,mpx_no_narrow_bounds,1,native,,2204,775258450,9104636,1910,1828101184,0.209718083,59714,,361372296,185666141,1176,0
