name,compiler,type,threads,input,mpxbtnum,cycles,major_faults,instructions,dtlb_store_misses,branch_instructions,branch_misses,dtlb_load_misses,dtlb_loads,time,mpxerrors,minor_faults,dtlb_stores
omnetpp,icc,native,1,native,,732660545496,0,560816266579,390551087,142564859695,2084256615,2292698730,170346610483,290.820785505,,46836,96044703369
omnetpp,icc,native,1,native,,742552298666,0,560751088344,425738040,142552343320,2086327803,2468853671,170352157906,293.928986589,,46839,96064317012
omnetpp,icc,native,1,native,,745566062980,0,560878142830,463364849,142572922443,2084505837,2623710827,170348307141,294.550002957,,46832,96029338132
omnetpp,icc,native,1,native,,680623414255,0,560759103664,133493223,142561386667,2079370037,1061909577,170333083205,274.490207654,,46845,96036856705
omnetpp,icc,native,1,native,,695660223543,0,560789917797,198364985,142570141789,2081083304,1369337958,170338261885,278.122335125,,46840,96035798154
sphinx3,icc,native,1,native,,29740369573,0,63047836442,399541,7357625528,137926055,5491553,15594972323,7.861611546,,5547,2365025348
sphinx3,icc,native,1,native,,29749087803,0,63139197555,531005,7354522925,137830339,9991518,15590038621,7.84468168,,7590,2377883432
sphinx3,icc,native,1,native,,29868858881,0,62907319481,595056,7343867019,138023082,10557616,15608273721,7.880323059,,6572,2374467314
sphinx3,icc,native,1,native,,29755544855,0,63095097628,567170,7363995109,137485058,10181195,15578831043,7.850757456,,6573,2362461442
sphinx3,icc,native,1,native,,29815652242,0,63122814904,521501,7363647495,137663975,11015192,15598027310,7.859628233,,6572,2375855719
sphinx3,icc,native,1,native,,29821170541,0,63094447941,484630,7365100581,138058311,10595548,15605994286,7.861738468,,6570,2372887788
sphinx3,icc,native,1,native,,29748063166,0,63087473803,558396,7358018334,137652141,10751902,15582908955,7.850216022,,6570,2372402267
sphinx3,icc,native,1,native,,29726891396,0,62978747938,342622,7349056983,138371184,5395344,15608242605,7.836617122,,6062,2367325512
sphinx3,icc,native,1,native,,29729908192,0,62979018175,616896,7352380857,138080689,10832627,15598200654,7.837282509,,6572,2371488340
sphinx3,icc,native,1,native,,29621435412,0,63164993679,376441,7359405801,137904588,6005860,15576838313,7.809423748,,6575,2376075134
