name,compiler,type,threads,input,involuntary_context_switches,mpxbtnum,voluntary_context_switches,major_faults,user_time,mpxerrors,time,minor_faults,maxsize,sys_time
bzip2,icc,native,1,0,20,,1,0,8.19,,8.2,4424,104260,0.0
bzip2,icc,native,1,1,33,,2,0,16.37,,16.38,4477,196444,0.01
bzip2,icc,native,1,2,67,,2,0,32.74,,32.77,4582,380824,0.01
bzip2,icc,native,1,3,133,,2,0,65.49,,65.53,4792,749584,0.03
bzip2,icc,native,1,4,260,,3,0,131.0,,131.09,5213,1487104,0.07
bzip2,icc,native,1,0,19,,2,0,8.2,,8.2,4425,104260,0.0
bzip2,icc,native,1,1,33,,2,0,16.38,,16.39,4477,196444,0.01
bzip2,icc,native,1,2,68,,1,0,32.77,,32.79,4581,380824,0.01
bzip2,icc,native,1,3,133,,2,0,65.52,,65.56,4792,749584,0.02
bzip2,icc,native,1,4,262,,2,0,131.02,,131.1,5212,1487104,0.06
bzip2,icc,native,1,0,17,,1,0,8.2,,8.2,4424,104260,0.0
bzip2,icc,native,1,1,34,,2,0,16.38,,16.39,4477,196444,0.01
bzip2,icc,native,1,2,66,,3,0,32.76,,32.77,4583,380824,0.0
bzip2,icc,native,1,3,134,,3,0,65.54,,65.59,4793,749584,0.03
