name,compiler,type,threads,input,instructions,mpxerrors,branch_misses,major_faults,cycles,dtlb_loads,dtlb_load_misses,dtlb_store_misses,branch_instructions,time,dtlb_stores,minor_faults,mpxbtnum
kmeans,icc,native,1,1,1598969332,,10141271,0,677232100,531654584,188718,13812,328688435,0.27597163,151527284,7366,
kmeans,icc,native,1,2,3779924429,,23209103,0,1554751158,1136632465,385712,39753,744894360,0.570974102,349194479,13927,
kmeans,icc,native,1,3,7573197813,,58470836,0,3420248958,2735108200,745493,86122,1529748381,1.24502984,852509564,26520,
word_count,icc,native,1,0,2515147672,,15214065,0,2070597387,959572937,127060,4635,267037510,0.557564825,567547718,3286,
word_count,icc,native,1,1,10329675658,,87251014,0,11238655423,3373561304,8513586,31521,1355789935,2.961318379,1725095977,14389,
word_count,icc,native,1,2,23589900122,,191328332,0,28619638256,8099882469,36604562,74523,2988112024,7.540790934,4100462695,28416,
word_count,icc,native,1,3,36066609141,,384406659,0,50702293940,10637630342,85100131,121419,5639149096,13.357837481,4302747066,55732,
word_count,icc,native,1,0,2519139248,,15214950,0,2073647447,956971829,124804,4639,267312608,0.558467041,567569700,3288,
word_count,icc,native,1,1,10418340896,,87140002,0,11259490126,3395028215,8584043,33005,1358031569,2.967104168,1700264666,14387,
word_count,icc,native,1,2,23554507388,,192644503,0,28545021847,8113617013,36663385,73496,3016294157,7.527438943,4190610042,28417,
word_count,icc,native,1,3,35998234890,,385085404,0,50702660885,10647859880,85261933,120670,5638740065,13.360584999,4346903513,55730,
word_count,icc,native,1,0,2522592958,,15112299,0,2064225203,952813679,125167,4632,264122520,0.556297077,559922719,3286,
word_count,icc,native,1,1,10329063879,,86927708,0,11164665266,3431969904,8538436,32452,1374317163,2.942363301,1717186285,14389,
word_count,icc,native,1,2,23585936489,,190219840,0,28543874666,8189940323,36836181,71037,3001801542,7.520251006,4051380750,28413,
word_count,icc,native,1,3,36002299022,,385641330,0,50751161875,10598045239,85549607,130469,5616471554,13.370922609,4417875806,55733,
word_count,icc,native,1,0,2522463711,,15086425,0,2067206722,953922005,132574,4718,264580274,0.557083065,560493014,3286,
word_count,icc,native,1,1,10368265882,,87512972,0,11186278936,3428790003,8565235,32061,1380601686,2.9501088,1736612260,14390,
word_count,icc,native,1,2,23518110259,,189937962,0,28667795945,8232500473,36638057,76058,3008886415,7.554379201,4057109449,28415,
word_count,icc,native,1,3,36149873563,,383690526,0,50621933245,10578037840,85443833,127380,5619507379,13.344515139,4326735389,55733,
word_count,icc,native,1,0,2515223285,,15216703,0,2068969575,955458748,132480,4720,264354830,0.558327511,565966346,3286,
word_count,icc,native,1,1,10388720388,,87891684,0,11187569666,3414413254,8529703,32065,1381341160,2.950750058,1742450964,14390,
word_count,icc,native,1,2,23465742630,,192172206,0,28606071682,8148012662,36722247,76119,3001574619,7.536966325,4138643981,28413,
word_count,icc,native,1,3,36191780121,,384608136,0,50641449000,10537569685,85364952,124353,5610922393,13.341671113,4359273408,55733,
word_count,icc,native,1,0,2521058514,,15188796,0,2068903742,956353128,128214,4699,267839708,0.556499045,564439462,3289,
word_count,icc,native,1,1,10350627103,,87493069,0,11168806438,3430832783,8548596,33346,1378908735,2.942624693,1731321885,14391,
word_count,icc,native,1,2,23533829916,,191740213,0,28540722071,8179836272,36621586,69048,3003964805,7.519431072,4107933423,28413,
word_count,icc,native,1,3,36121720443,,383877664,0,50658622378,10644938266,85707402,124997,5642833425,13.351676833,4313182203,55734,
word_count,icc,native,1,0,2517587986,,15202462,0,2069698709,958543731,125645,4748,265696348,0.557384463,566679120,3290,
word_count,icc,native,1,1,10419895710,,87460273,0,11171242305,3396716366,8543079,32871,1378943640,2.947552856,1727146460,14391,
word_count,icc,native,1,2,23470525070,,192241369,0,28544410099,8152400023,36627259,70122,3010779646,7.530596882,4135817946,28416,
word_count,icc,native,1,3,36078758586,,385224170,0,50821043398,10600209137,85789528,118714,5631654093,13.392879367,4353180900,55734,
word_count,icc,native,1,0,2520575871,,15143815,0,2109786044,955885765,127952,5545,262273540,0.557530742,561537469,3285,
word_count,icc,native,1,1,10408276888,,88111810,0,11179128691,3402195956,8567291,31221,1380550648,2.949802281,1737727178,14388,
word_count,icc,native,1,2,23576998935,,190489449,0,28663701633,8160395735,36872925,74165,3004547001,7.552061286,4104812360,28417,
word_count,icc,native,1,3,36088336203,,385126610,0,50772968840,10567261075,85359069,129353,5631196083,13.375808816,4405870082,55732,
word_count,icc,native,1,0,2520807488,,15178153,0,2075742051,958964076,123966,4438,272580208,0.557973694,570039355,3287,
word_count,icc,native,1,1,10306409757,,87827512,0,11225330642,3389824718,8639689,32203,1369219055,2.957637959,1743381772,14389,
word_count,icc,native,1,2,23527424110,,191456294,0,28625967649,8118411986,36838690,68987,2982748940,7.548809034,4085649606,28415,
word_count,icc,native,1,3,36073778926,,384401913,0,50636038657,10533354121,84886928,133011,5609064788,13.340201321,4382208978,55730,
word_count,icc,native,1,0,2518452281,,15200569,0,2070091637,956883375,131710,4650,264995699,0.557701511,566380220,3288,
word_count,icc,native,1,1,10366681980,,87298407,0,11187311067,3408300459,8555008,31214,1382039133,2.953918244,1735862491,14388,
word_count,icc,native,1,2,23409708048,,192837502,0,28734297436,8166962026,36468934,74936,3004647237,7.570654846,4174443975,28413,
word_count,icc,native,1,3,36064166273,,385406237,0,50744335196,10543230123,85198746,126335,5618971817,13.368663711,4374702680,55734,
matrix_multiply,icc,native,1,0,1187017222,,113390,0,645280975,292378882,3209,759,189526031,0.172108316,167945556,295,
matrix_multiply,icc,native,1,1,7646963887,,633239,0,4276587012,2327898328,10733,2201,1145891399,1.135507227,945172275,794,
matrix_multiply,icc,native,1,2,41275348956,,2496424,0,33198953410,12866402042,1159466129,79847,5432239066,9.171499308,3875554163,603,
matrix_multiply,icc,native,1,3,253311266464,,9814752,0,464807481387,78532483316,27040438538,618912,28562153725,122.528967083,15443657681,1891,
matrix_multiply,icc,native,1,0,1187840218,,62052,0,644574744,284149348,2915,756,192815276,0.172199912,161317882,291,
matrix_multiply,icc,native,1,1,7554000042,,620438,0,4253221586,2332731205,14297,2090,1144623645,1.136507645,942275121,792,
matrix_multiply,icc,native,1,2,41295197203,,2492225,0,31607168118,12860020663,1015133634,90138,5432625694,8.536292092,3876583983,603,
matrix_multiply,icc,native,1,3,253207798830,,9837772,0,463402232668,78557402159,27033018307,617581,28555098204,122.141386972,15444996308,1888,
matrix_multiply,icc,native,1,0,1189272685,,119061,0,651784254,307056836,3296,719,189910126,0.173116109,168212182,293,
matrix_multiply,icc,native,1,1,7550462574,,638946,0,4295706866,2335474412,12384,2051,1136589120,1.137341818,947199032,794,
matrix_multiply,icc,native,1,2,41323093394,,2476755,0,29099760762,12873978805,769542880,379197,5439637788,8.33179064,3845275960,1110,
matrix_multiply,icc,native,1,3,253285067856,,9813618,0,463859263952,78526490631,27037160538,656373,28558830778,122.254316679,15456078041,1889,
matrix_multiply,icc,native,1,0,1187395723,,63104,0,645515724,280884468,2497,771,190553310,0.172595024,161926630,291,
matrix_multiply,icc,native,1,1,7541151474,,620636,0,4228827915,2339965359,9513,2121,1146487456,1.130919878,941782744,794,
matrix_multiply,icc,native,1,2,41359252913,,2461387,0,28665554422,12851886141,748942873,96031,5456832266,8.004227305,3824306767,602,
matrix_multiply,icc,native,1,3,253266507998,,9849973,0,464156980583,78551856372,27032995702,695917,28569371731,122.355222197,15432138040,1887,
matrix_multiply,icc,native,1,0,1187566334,,109227,0,648592214,294499392,156,738,190050024,0.17333677,166689571,293,
matrix_multiply,icc,native,1,1,7538422876,,625021,0,4257455863,2344336901,11434,2099,1145701973,1.131545244,940577182,796,
matrix_multiply,icc,native,1,2,41304190142,,2470686,0,29320749197,12879393041,762217372,493987,5448858646,8.289062649,3833315179,1115,
matrix_multiply,icc,native,1,3,253243191985,,9804544,0,464022143616,78534529966,27038752575,557113,28554789526,122.401228229,15457016093,1885,
matrix_multiply,icc,native,1,0,1187699865,,59616,0,649096907,280608485,1419,738,189829246,0.173037059,162132982,293,
matrix_multiply,icc,native,1,1,7618136176,,634537,0,4282313348,2333015389,11705,2088,1143918928,1.136957997,944663313,792,
matrix_multiply,icc,native,1,2,41337654976,,2484346,0,31076071153,12847924961,978693093,116579,5461004323,8.737213111,3829111899,606,
