name,compiler,type,threads,input,dtlb_loads,major_faults,mpxerrors,minor_faults,dtlb_store_misses,branch_misses,branch_instructions,dtlb_load_misses,mpxbtnum,time,cycles,dtlb_stores,sgxmem,instructions,sgxtime
kmeans,gcc,mpx,4,native,19876668341,0,,3157,19928,54989918,7123777853,835915,,3.597319358,33274352411,50972725,,79964465274,
kmeans,gcc,mpx,8,native,20583995582,0,,3115,39942,56584328,7099799918,5783203,,3.036608895,72289023336,60926560,,76363793355,
histogram,gcc,mpx,2,native,7103822089,0,,21644,882,318988,504546182,100406,,2.265873366,16796944187,1435368997,,28574837368,
histogram,gcc,mpx,4,native,7075602968,0,,21644,773,324144,504233421,80987,,1.283083609,17344418733,1436152608,,28698042675,
histogram,gcc,mpx,8,native,7090640263,0,,21644,927,288738,508677980,83300,,1.354328161,34137150080,1434996756,,28773671600,
linear_regression,gcc,mpx,2,native,9967603150,0,,8457,392,182342,294215069,51675,,2.804032757,20980894196,1638648620,,32706456856,
linear_regression,gcc,mpx,4,native,9525211327,0,,8457,310,215156,307670074,63783,,2.630705926,36288655617,1597421527,,34915178708,
linear_regression,gcc,mpx,8,native,10011598904,0,,8456,348,254546,299991935,71763,,4.434152518,116099892241,1630512847,,32945764841,
matrix_multiply,gcc,mpx,2,native,19622843965,0,,646,49900,2501812,7096021293,787198310,,8.107794332,49209439875,3861173224,,76655112017,
matrix_multiply,gcc,mpx,4,native,19606013974,0,,1382,411660,2502802,7125065182,820202809,,5.829918888,49656124277,3835942808,,76803302571,
matrix_multiply,gcc,mpx,8,native,19645796033,0,,1259,165620,2556295,7129387736,3380354297,,6.325238127,102179961455,3848162882,,76804813095,
string_match,gcc,mpx,2,native,10012140519,0,,8477,642,64480796,9725831623,57350,,2.905799598,21730238983,7538778145,,51655554918,
string_match,gcc,mpx,4,native,10002176900,0,,8473,736,64416545,9711962621,63086,,1.584901117,21689569982,7543890600,,51592453029,
string_match,gcc,mpx,8,native,10008926967,0,,8475,570,65179286,9724876399,52948,,1.383816967,38601680586,7553114245,,51718139257,
pca,gcc,mpx,2,native,229897585944,0,,17854,2399843,5211244,13698277616,254695,,42.750793818,321561157406,154695074,,541185343755,
pca,gcc,mpx,4,native,229897671898,0,,17868,3689819,5277099,13697409865,460927,,22.417096772,321317950099,152127024,,541224941426,
pca,gcc,mpx,8,native,229942799053,0,,17861,4244942,5358285,13715737392,592781,,21.695785882,619745145048,167140678,,541297105172,
word_count,gcc,mpx_no_narrow_bounds,2,native,13065462450,0,,44446,618738,211103863,4960036557,19623601,,6.483687966,46437521998,9094854549,,43777350837,
word_count,gcc,mpx_no_narrow_bounds,4,native,13105373217,0,,43041,433383,215327011,4989709978,17961504,,5.933959563,57632574694,9197030636,,43926736932,
word_count,gcc,mpx_no_narrow_bounds,8,native,13152568218,0,,43966,687301,220751096,5029470389,47934030,,9.665241722,125145913482,9169472660,,44387074265,
kmeans,gcc,mpx_no_narrow_bounds,2,native,19963190862,0,,3189,21362,46162854,6004942381,1197845,,6.411426735,37637179895,57997187,,85862447235,
kmeans,gcc,mpx_no_narrow_bounds,4,native,19842791035,0,,3247,15314,53161548,6966631051,1121812,,3.664693232,33459925626,45252384,,72581134071,
kmeans,gcc,mpx_no_narrow_bounds,8,native,22269664200,0,,3135,26927,56364648,6069313515,15429727,,3.026351484,64045554436,83024839,,80309121808,
histogram,gcc,mpx_no_narrow_bounds,2,native,6600726728,0,,21646,900,312935,510462644,72994,,2.20816056,16362003928,1437038531,,28036088053,
histogram,gcc,mpx_no_narrow_bounds,4,native,6600901629,0,,21652,734,327963,508472080,75464,,1.257592654,17026876948,1416868564,,28371422781,
histogram,gcc,mpx_no_narrow_bounds,8,native,6622257049,0,,21644,695,290824,511869595,78425,,1.336466745,33728312958,1429271303,,28365520050,
linear_regression,gcc,mpx_no_narrow_bounds,2,native,9949447914,0,,8458,412,185178,279338233,51989,,2.801605209,20747691490,1678803966,,32523481985,
linear_regression,gcc,mpx_no_narrow_bounds,4,native,10461557089,0,,8458,339,213075,296523064,64012,,2.436016158,34007621006,1600831866,,31864613769,
linear_regression,gcc,mpx_no_narrow_bounds,8,native,10063876746,0,,8458,336,268926,300371196,69005,,4.804252878,124245360139,1648945855,,32637889574,
matrix_multiply,gcc,mpx_no_narrow_bounds,2,native,19620551947,0,,1142,394050,2513204,7116955382,793588105,,8.198248524,49764764921,3869696737,,76710362249,
matrix_multiply,gcc,mpx_no_narrow_bounds,4,native,19639161502,0,,888,89094,2521098,7118495514,778931202,,5.812858691,49192440291,3835162015,,76572148599,
matrix_multiply,gcc,mpx_no_narrow_bounds,8,native,19666619431,0,,1779,687826,2521455,7122077960,3374427415,,6.306604808,102252654317,3846958707,,76593610355,
string_match,gcc,mpx_no_narrow_bounds,2,native,9999933463,0,,8477,477,64494881,9731705940,64393,,2.905156842,21667012891,7518406828,,51663707616,
