name,compiler,type,threads,input,dtlb_store_misses,mpxbtnum,sgxtime,tput,instructions,branch_instructions,dtlb_stores,num_clients,cycles,branch_misses,major_faults,dtlb_load_misses,time,mpxerrors,lat,dtlb_loads,minor_faults,sgxmem
bin/memcached,clang,native,1,448,,,,281418.0,,,,448,,,,,,,1591.0,,,
bin/memcached,clang,native,1,512,,,,281427.0,,,,512,,,,,,,1818.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,,,,101864.0,,,,32,,,,,,,313.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,,,,125678.0,,,,64,,,,,,,508.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,,,,122182.0,,,,128,,,,,,,1047.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,,,,131241.0,,,,192,,,,,,,1462.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,,,,128127.0,,,,256,,,,,,,1997.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,,,,118455.0,,,,320,,,,,,,2701.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,384,,,,133505.0,,,,384,,,,,,,2876.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,448,,,,131429.0,,,,448,,,,,,,3409.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,512,,,,164241.0,,,,512,,,,,,,3117.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,,,,106371.0,,,,32,,,,,,,300.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,,,,123313.0,,,,64,,,,,,,518.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,,,,160935.0,,,,128,,,,,,,794.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,,,,122589.0,,,,192,,,,,,,1565.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,,,,127417.0,,,,256,,,,,,,2008.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,,,,155958.0,,,,320,,,,,,,2051.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,384,,,,133400.0,,,,384,,,,,,,2878.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,448,,,,131287.0,,,,448,,,,,,,3412.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,512,,,,161591.0,,,,512,,,,,,,3168.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,,,,107396.0,,,,32,,,,,,,297.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,,,,122776.0,,,,64,,,,,,,520.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,,,,142734.0,,,,128,,,,,,,896.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,,,,123858.0,,,,192,,,,,,,1549.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,,,,148590.0,,,,256,,,,,,,1722.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,,,,130215.0,,,,320,,,,,,,2457.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,384,,,,124124.0,,,,384,,,,,,,3093.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,448,,,,161063.0,,,,448,,,,,,,2781.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,512,,,,129382.0,,,,512,,,,,,,3958.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,,,,99638.0,,,,32,,,,,,,320.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,,,,129676.0,,,,64,,,,,,,493.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,,,,128096.0,,,,128,,,,,,,998.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,,,,122374.0,,,,192,,,,,,,1568.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,,,,126939.0,,,,256,,,,,,,2016.0,,,
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,,,,130516.0,,,,320,,,,,,,2451.0,,,
