name,compiler,type,threads,input,dtlb_store_misses,instructions,dtlb_load_misses,branch_instructions,dtlb_loads,mpxbtnum,branch_misses,mpxerrors,time,cycles,major_faults,minor_faults,dtlb_stores
raytrace,icc,native,1,native,377322,523170918873,3136995,43719196620,128536948611,,1425449975,,122.342453133,464188607204,0,61998,37594403926
raytrace,icc,native,1,native,421425,523300515580,3199399,43704814517,128511783517,,1423607834,,122.275048923,463946515157,0,61492,37621440202
raytrace,icc,native,1,native,388336,523071965897,2501842,43671280090,128581954910,,1423519189,,122.102458288,463299466045,0,55110,37612738333
canneal,icc,native,1,native,5734463,130657650319,280589458,17624779915,43533327395,,429033963,,145.369135385,340283120092,0,155757,8672976859
canneal,icc,native,1,native,5655242,130619187049,266193182,17619201075,43532446722,,428158652,,144.915802688,338822200117,0,155770,8678879153
canneal,icc,native,1,native,5640141,130650727154,287475660,17619383384,43524440964,,428853640,,145.424355211,340627830538,0,155253,8682898711
canneal,icc,native,1,native,5634937,130698231516,272553450,17630417444,43531508775,,427965256,,144.697332378,339785514917,0,155772,8663250925
canneal,icc,native,1,native,5646586,130642822072,276794442,17626770623,43530728878,,427438646,,145.186445116,339938023607,0,155757,8676929327
canneal,icc,native,1,native,5688512,130624689775,284549983,17625956343,43532390019,,426600442,,145.028668938,339631484845,0,155770,8674425722
canneal,icc,native,1,native,5626539,130646704126,282557799,17617682786,43525056526,,428014513,,145.265762206,340221917518,0,155768,8681996598
canneal,icc,native,1,native,5597230,130683634454,266617485,17628444711,43519619663,,428320409,,144.883998081,339117744845,0,155257,8674452374
canneal,icc,native,1,native,5638372,130681557747,284866272,17618058752,43517163593,,427787951,,145.363248711,340331105978,0,155753,8678959316
canneal,icc,native,1,native,5666115,130639282197,267389491,17626808088,43532264676,,427677576,,144.83330512,339014643490,0,155263,8675314151
blackscholes,icc,native,1,native,32272,403206351152,16636,48525977249,118908849227,,351833230,,83.176058237,315766235352,0,2077,40949354761
blackscholes,icc,native,1,native,30797,403248615501,14035,48519002116,118897532149,,355222626,,83.206943864,315801107909,0,2588,40945754248
blackscholes,icc,native,1,native,23184,403254542626,17187,48537846651,118903671267,,353353031,,83.171713836,315781139527,0,2078,40951952594
blackscholes,icc,native,1,native,55429,403257094675,21543,48530963285,118897839323,,352564649,,83.192400645,315821071318,0,2588,40942313548
blackscholes,icc,native,1,native,33930,403246224891,19529,48534965967,118900278828,,349612533,,83.178235857,315726969393,0,2590,40951007249
blackscholes,icc,native,1,native,37180,403290296589,21382,48538144094,118893990726,,354759758,,83.206268206,315875777524,0,2588,40950392937
blackscholes,icc,native,1,native,63107,403264307220,23387,48531558940,118898152681,,353662973,,83.169954941,315776886047,0,2586,40950217907
blackscholes,icc,native,1,native,31625,403253827285,17467,48533236453,118898297739,,351922779,,83.16748444,315742950778,0,2586,40951142634
blackscholes,icc,native,1,native,31376,403257830579,20550,48525649653,118892026800,,353417073,,83.195783416,315819874479,0,2590,40943623389
blackscholes,icc,native,1,native,30787,403259325810,18372,48537618646,118904202476,,353865399,,83.166737911,315766176046,0,2076,40952411462
dedup,icc,native,1,native,3054941,126103666934,29062347,15508056177,37681009021,,688013526,,19.526054844,71382291634,0,396289,15787002743
dedup,icc,native,1,native,3084917,126144942186,29040143,15506517457,37673554243,,688310844,,19.551983935,71420087192,0,396902,15763300715
dedup,icc,native,1,native,3130625,125982623668,28903492,15490630157,37725991987,,687324418,,19.582142264,71475937055,0,396434,15830588265
dedup,icc,native,1,native,3134759,126070174210,29056783,15503974640,37728752446,,687054651,,19.594920542,71562081849,0,395865,15780861965
dedup,icc,native,1,native,3110670,126120897805,28978932,15529229426,37718293984,,687843935,,19.591493393,71469508284,0,396269,15764714665
dedup,icc,native,1,native,3088542,126057450288,28979784,15532514744,37782901015,,688074673,,19.594467284,71529754981,0,395729,15737572227
dedup,icc,native,1,native,3099228,125801368545,28523551,15453014408,37759538293,,687023230,,19.60600938,71613999651,0,396091,15823555840
dedup,icc,native,1,native,3094734,125874431012,28732474,15510975108,37743199075,,686784382,,19.640044441,71633883748,0,395600,15771625166
dedup,icc,native,1,native,3098914,125875391092,28785224,15502633244,37774006022,,686485711,,19.641375074,71675131188,0,396392,15768100972
dedup,icc,native,1,native,3084214,125910462986,28939385,15479833937,37729599901,,686880808,,19.657104262,71697648843,0,396502,15811069891
facesim,icc,native,1,native,4323178,27563231020,791174,2164706843,7616721683,,44703057,,3.401520086,12875992512,0,617338,2847480330
facesim,icc,native,1,native,4326945,27494421469,787515,2151812955,7626172416,,44820340,,3.402287216,12859847063,0,616071,2865131528
facesim,icc,native,1,native,4331939,27588295834,795854,2167544316,7610032267,,44760202,,3.400250453,12875918790,0,617447,2847550291
facesim,icc,native,1,native,4332162,27475416984,793084,2147773509,7634746159,,44750084,,3.404593923,12874959605,0,616900,2863676745
facesim,icc,native,1,native,4303502,27569265585,806461,2165683613,7611893340,,44564813,,3.399873225,12870096913,0,618757,2853775124
facesim,icc,native,1,native,4329255,27482669207,841585,2161469053,7628186381,,44658580,,3.402012048,12869145981,0,618908,2870905795
facesim,icc,native,1,native,4327895,27537736655,786898,2159756406,7618545472,,44872013,,3.401927699,12874940115,0,616889,2849885631
facesim,icc,native,1,native,4326238,27443819740,804736,2128021212,7613093376,,44695901,,3.408446896,12930690049,0,616598,2894338840
facesim,icc,native,1,native,4315475,27579918313,847288,2168953228,7610157634,,44691640,,3.398854124,12870827829,0,618263,2855234118
facesim,icc,native,1,native,4340489,27417672485,797690,2129513687,7634098471,,44572542,,3.408324146,12921448033,0,617456,2878333920
bodytrack,icc,native,1,native,596684,694096257243,215584,66943444479,128054424485,,359059306,,74.335687815,282076658317,0,121555,24051113642
bodytrack,icc,native,1,native,732217,694130946960,294842,66914000698,127998472612,,359213092,,74.835832731,284025595180,0,121555,24188324019
bodytrack,icc,native,1,native,672615,693722482415,281682,66946560440,128054720013,,359442883,,74.749467257,283744121284,0,121552,24022547546
bodytrack,icc,native,1,native,787016,694880756662,291119,66724811589,127812149518,,359826024,,74.778015413,283804055310,0,121553,24262829058
bodytrack,icc,native,1,native,615775,694014444620,235271,66903366900,127924417724,,359280282,,74.416710165,282471276498,0,121554,24183143831
bodytrack,icc,native,1,native,679192,693823308870,287390,66945905949,128000233713,,359093615,,74.596284738,283090283362,0,121556,24081591052
bodytrack,icc,native,1,native,694942,693481822769,294904,66989853380,128137497373,,359256811,,74.632182157,283273096174,0,121556,24041953232
bodytrack,icc,native,1,native,719561,694643530223,292533,66825582525,127949275691,,358948823,,74.536643268,282924349204,0,121553,24168515552
bodytrack,icc,native,1,native,752316,694638352023,290876,66808492199,128103728399,,357171907,,74.597684814,283157068475,0,121554,24032641801
bodytrack,icc,native,1,native,643200,693424521247,298767,67014297581,128080141533,,359156699,,74.574426613,283048279543,0,121554,24022121384
streamcluster,icc,native,1,native,22994,403935933286,26764,48722119740,119711615724,,281748070,,202.596015364,408364264801,0,2808,2228394860
streamcluster,icc,native,1,native,15273,403845872164,3563,48780106794,119726266341,,278977183,,202.605808283,408523880977,0,2299,2148635285
streamcluster,icc,native,1,native,13098,403973747348,38738,48751623677,119721378627,,244279890,,202.501371024,407908145565,0,2807,2189817134
streamcluster,icc,native,1,native,21218,403951459279,35291,48756356678,119700778711,,274149918,,202.877542325,407529379224,0,2812,2191908474
streamcluster,icc,native,1,native,32553,403861495234,209211,48749578247,119711989559,,296784614,,202.729207913,408436376761,0,3315,2195678818
streamcluster,icc,native,1,native,23769,403904739943,31924,48746759401,119716509745,,285164490,,202.230368118,408732062385,0,2811,2204627096
streamcluster,icc,native,1,native,10660,403749507134,7641,48719556607,119721586462,,273849132,,202.427282861,408319010215,0,2802,2213389736
streamcluster,icc,native,1,native,12612,403906633039,42610,48753653569,119712285798,,441326677,,203.481230571,409985385272,0,2807,2171891157
streamcluster,icc,native,1,native,21728,403857459553,45305,48743904398,119717622849,,300001920,,202.854355007,408617475054,0,3313,2166218746
streamcluster,icc,native,1,native,20660,403876646252,47766,48744831383,119707115671,,329839474,,202.650531414,409045551564,0,2809,2204642801
x264,icc,native,1,native,188084,1479483061612,399759,77584874731,287253183422,,2852478025,,173.462763215,658336941435,0,6815,104188515588
x264,icc,native,1,native,929386,1479199343456,3017805,77580380770,287282591558,,2855556262,,174.257702515,661350689263,0,6870,104177328105
x264,icc,native,1,native,203862,1479463490949,466559,77579929967,287237550010,,2851357849,,173.466683048,658347628228,0,6842,104186063943
x264,icc,native,1,native,1379398,1479480314714,4145667,77584673203,287226462702,,2852915642,,174.104017938,660680934672,0,8459,104181508424
