name,compiler,type,threads,input,cycles,dtlb_store_misses,minor_faults,branch_misses,dtlb_load_misses,major_faults,dtlb_loads,branch_instructions,instructions,mpxbtnum,mpxerrors,dtlb_stores,time
canneal,gcc,native,1,2,2986761337,16,854,10364362,1739,0,741994711,483947666,3216614621,,,402589010,0.787672781
canneal,gcc,native,1,3,3648190838,729,1885,10428770,3192,0,749182299,493687259,3259362258,,,406857217,0.962800957
canneal,gcc,native,1,4,3853658492,72126,6014,10488301,1552,0,779938018,525724169,3421895314,,,447653163,1.091856081
canneal,gcc,native,1,0,2172034629,20,594,10445293,129,0,736801834,482523421,3207662096,,,400832421,0.573841795
canneal,gcc,native,1,1,2305988798,6,1253,8602645,2587,0,735005526,479054994,3148300157,,,394054753,0.608412626
canneal,gcc,native,1,2,2996033503,57,1364,10367594,2452,0,740667163,483275664,3218255158,,,403030202,0.790641747
canneal,gcc,native,1,3,3645015894,1634,1886,10428903,4858,0,747909298,493471232,3266777210,,,407497403,0.964751001
canneal,gcc,native,1,4,3836334337,41170,6016,10454092,9124,0,782815124,525704715,3419410242,,,452826456,1.093171169
canneal,gcc,native,1,0,2137348946,6,1105,10461254,1418,0,740755509,481672906,3179339787,,,402514246,0.588444028
canneal,gcc,native,1,1,2191211626,4,742,8492939,1122,0,734702399,477619300,3117095232,,,397835702,0.58775076
canneal,gcc,native,1,2,2987003481,40,851,10358421,1512,0,740964622,483498680,3216804092,,,402593754,0.787849322
canneal,gcc,native,1,3,3645441189,1053,1886,10399288,3623,0,749184091,493961043,3262026856,,,403429233,0.961153222
canneal,gcc,native,1,4,3838932748,38088,6015,10444116,6869,0,782904601,525692654,3413944281,,,452357988,1.094362863
canneal,gcc,native,1,0,2176619203,0,1102,10478308,1947,0,740357619,483008425,3211523097,,,399228503,0.57423476
canneal,gcc,native,1,1,2192595006,2,742,8474407,1247,0,734352502,476433830,3109570136,,,398475248,0.58905923
canneal,gcc,native,1,2,2981314280,36,1364,10512168,2690,0,739617667,484924422,3216686059,,,402115139,0.797080995
canneal,gcc,native,1,3,3655080568,1088,1889,10492396,3717,0,747867975,492988289,3258714702,,,407656729,0.964656072
canneal,gcc,native,1,4,3846552232,68469,5506,10531811,1128,0,780139588,525487264,3420130134,,,448604143,1.093219482
bodytrack,gcc,native,1,0,27102036005,56955,6769,40510487,37481,0,11365895915,5244568273,57863645531,,,3133789016,7.151272805
bodytrack,gcc,native,1,1,53672375482,70075,7755,80073415,54183,0,22432650892,10430668734,114113078159,,,6209729401,14.139349362
bodytrack,gcc,native,1,2,107913343086,127794,10768,159429685,116236,0,44702076533,20854849306,227089020956,,,12395744054,28.429528158
bodytrack,gcc,native,1,3,214069588147,268743,15777,321563591,180484,0,89121255434,41627557008,452630311815,,,24756267313,56.385853781
bodytrack,gcc,native,1,4,427832862614,387349,25209,635829498,322158,0,177909951687,83264788979,904003492008,,,49419533655,112.701657273
bodytrack,gcc,native,1,0,27094555030,64107,6766,39171159,36347,0,11401733558,5230896036,57839488297,,,3148275552,7.147652576
bodytrack,gcc,native,1,1,53702925903,77082,7756,80933346,56941,0,22433901777,10431104070,114051048964,,,6197266907,14.147401803
bodytrack,gcc,native,1,2,107145524558,147206,10770,159052778,107524,0,44715637822,20837804699,227281910369,,,12410137331,28.222347564
bodytrack,gcc,native,1,3,213658587100,86570,15270,319462758,48147,0,89076785543,41666195141,452925883290,,,24744538035,56.279421786
bodytrack,gcc,native,1,4,427248002840,380711,24694,634984891,324895,0,177886891109,83219013178,904025865850,,,49446923420,112.568403578
bodytrack,gcc,native,1,0,27101525613,41981,6254,39485415,19123,0,11391257855,5246111678,57865535479,,,3130602980,7.139599034
bodytrack,gcc,native,1,1,53628918912,93397,7756,80330660,56378,0,22444063996,10411854843,114007964588,,,6214166128,14.127966418
bodytrack,gcc,native,1,2,107269992402,121426,10770,159910593,104852,0,44680766803,20860039783,227256449580,,,12388663359,28.254994746
bodytrack,gcc,native,1,3,213683856996,245054,15778,320431696,183468,0,89068750515,41653264335,452903184468,,,24756640497,56.291094565
bodytrack,gcc,native,1,4,426575764299,308126,25212,636222648,228964,0,177927987802,83231736542,903986289341,,,49424043961,112.395834262
bodytrack,gcc,native,1,0,27209340435,39699,6772,41772830,31471,0,11346801550,5239598059,57926292072,,,3135658724,7.169926521
bodytrack,gcc,native,1,1,53693780210,71423,7758,80251917,51648,0,22434259054,10434684385,114066578641,,,6195737314,14.14416011
bodytrack,gcc,native,1,2,107441714745,138677,10770,159990620,111095,0,44700331177,20835792730,227174168768,,,12410034164,28.303366605
bodytrack,gcc,native,1,3,214556691387,242402,15778,317922048,192231,0,89155938576,41651714634,452760700187,,,24746215299,56.519598447
bodytrack,gcc,native,1,4,427510429926,408451,25205,633021177,300888,0,177943236502,83271837760,904030684488,,,49405425968,112.608825479
bodytrack,gcc,native,1,0,27088772025,68799,6766,39515012,35877,0,11396180706,5232344692,57926498011,,,3146406516,7.13803513
bodytrack,gcc,native,1,1,53685909731,89484,8269,80161455,57368,0,22440245828,10432765122,114034460925,,,6198577804,14.143554283
bodytrack,gcc,native,1,2,107344327831,136568,10771,160254721,112032,0,44709070927,20846581894,227214151761,,,12417538442,28.275485154
bodytrack,gcc,native,1,3,213748761163,196433,15781,318554484,123605,0,89136725494,41637737729,452617092823,,,24759014422,56.309471909
bodytrack,gcc,native,1,4,425940881321,135106,25724,635725482,75172,0,177907271739,83236900176,903960352116,,,49450262378,112.196330445
bodytrack,gcc,native,1,0,27146692997,54788,6767,40209105,36244,0,11372812160,5242496986,57827343194,,,3134037033,7.153721344
bodytrack,gcc,native,1,1,53695870826,68356,7759,80788299,58066,0,22449335885,10425485014,113984421696,,,6202271713,14.15591509
bodytrack,gcc,native,1,2,107212071467,143861,10768,159194363,111657,0,44723059682,20847586752,227112674333,,,12406358153,28.2420647
bodytrack,gcc,native,1,3,214281824107,213487,15781,320570101,194150,0,89076218856,41659403754,452993535406,,,24755253556,56.443507262
bodytrack,gcc,native,1,4,427725049151,448627,25207,637565410,311535,0,177934537823,83272361478,903896736315,,,49398262568,112.677954753
bodytrack,gcc,native,1,0,27193613268,56302,6767,40143782,38807,0,11365971120,5251551721,57989697008,,,3135445239,7.164170563
bodytrack,gcc,native,1,1,53667956326,88071,8270,79778861,57896,0,22432931156,10432991694,114029533618,,,6209891863,14.138123826
bodytrack,gcc,native,1,2,107601926184,147716,10770,159754442,109284,0,44694731038,20840777900,227195785861,,,12416857326,28.34306237
bodytrack,gcc,native,1,3,213133963963,70574,15783,322052811,47771,0,89064293035,41641879465,452710040493,,,24733776753,56.14351891
bodytrack,gcc,native,1,4,427012279555,524073,25207,637439126,335550,0,177916138982,83228049561,903835186259,,,49464162437,112.491619227
bodytrack,gcc,native,1,0,27214446993,49338,6254,39727577,21977,0,11380334057,5239934552,57915515881,,,3140247632,7.16951484
bodytrack,gcc,native,1,1,53705882798,68872,8267,80976071,62093,0,22436026331,10447649883,114057586726,,,6183210741,14.147799587
bodytrack,gcc,native,1,2,107509657365,126055,10768,160562421,107908,0,44690690899,20853921839,227229584366,,,12395623438,28.319589547
bodytrack,gcc,native,1,3,214120270006,246124,15779,317856984,192577,0,89181301837,41620324560,452806779051,,,24775053484,56.399721551
bodytrack,gcc,native,1,4,426393632287,313069,25208,635658428,225470,0,177891886821,83215735191,903912589238,,,49439854610,112.310197606
bodytrack,gcc,native,1,0,27088056352,43662,6259,40509989,19545,0,11407404178,5225818839,57714839322,,,3143358765,7.143203683
bodytrack,gcc,native,1,1,53654394703,81971,8268,80431723,63678,0,22430461083,10435662650,114048976593,,,6199606752,14.133232385
bodytrack,gcc,native,1,2,107357378275,131549,10771,159321386,114304,0,44715154866,20840895666,227041564505,,,12405051088,28.277484348
bodytrack,gcc,native,1,3,214185699529,263708,15269,320066582,173079,0,89104554295,41640154429,452740503516,,,24765879682,56.423113701
bodytrack,gcc,native,1,4,428981684912,457493,25208,635074469,339842,0,177984009743,83212508463,903759181410,,,49475085083,113.004500462
bodytrack,gcc,native,1,0,27095360608,62769,6765,40183753,33485,0,11369975158,5238355556,57925790111,,,3139881894,7.138120253
bodytrack,gcc,native,1,1,53704979168,67352,8269,81008207,65876,0,22436400663,10444942370,114031143963,,,6185757206,14.150581598
bodytrack,gcc,native,1,2,107330643963,134837,10770,159452885,117217,0,44710048519,20829716177,227207944039,,,12413092019,28.273439895
bodytrack,gcc,native,1,3,213804603603,183502,16294,319184261,123142,0,89161862487,41615021963,452627415204,,,24788022561,56.320260177
bodytrack,gcc,native,1,4,426483836212,165719,25213,634777788,79098,0,177921068172,83237726882,904055412222,,,49426848919,112.350869826
blackscholes,gcc,native,1,0,20724773217,49809,2310,7875275,6439,0,5455241697,2951529032,20071351546,,,1473304279,5.459926767
blackscholes,gcc,native,1,1,41367363931,5869,1918,25847431,12223,0,10851948453,5912469738,40215086357,,,2905840937,10.897498229
blackscholes,gcc,native,1,2,82721089111,58204,2152,30747314,94338,0,21704170742,11815064411,80395930856,,,5835219845,21.789199671
blackscholes,gcc,native,1,3,165445307249,29581,2114,60534686,45844,0,43394148097,23638642201,160830965341,,,11657912120,43.576117724
blackscholes,gcc,native,1,4,331195590177,15557,2551,125886532,61907,0,86780596368,47260363290,321697772813,,,23307381367,87.257689984
blackscholes,gcc,native,1,0,20713998105,50954,2309,7619552,6550,0,5452394322,2948195798,20063478524,,,1476090073,5.457227417
blackscholes,gcc,native,1,1,41322157052,5994,2429,15189904,19371,0,10853197290,5912148161,40226996037,,,2907066319,10.891888818
blackscholes,gcc,native,1,2,82717126833,48722,2153,30273408,73244,0,21698314125,11818907644,80440359808,,,5822217312,21.787480935
blackscholes,gcc,native,1,3,165438417843,31177,2117,60523153,46731,0,43394073617,23643116716,160849784097,,,11657528593,43.574746523
blackscholes,gcc,native,1,4,330889621869,20157,2035,120852784,33032,0,86766415548,47230848195,321674991826,,,23330242390,87.148779619
blackscholes,gcc,native,1,0,20715630244,12733,1798,7635840,5718,0,5456608969,2956175604,20070493456,,,1469392573,5.457397567
blackscholes,gcc,native,1,1,41355280230,3172,1916,17221758,10449,0,10852298433,5910691859,40209445431,,,2907240413,10.893680887
blackscholes,gcc,native,1,2,82737307603,23351,2150,31272372,21385,0,21704614012,11808787499,80380427954,,,5837630976,21.792446046
blackscholes,gcc,native,1,3,165479098641,17500,1984,63927309,31002,0,43392440097,23621789540,160810703483,,,11665533221,43.594554806
blackscholes,gcc,native,1,4,330906191878,13406,2037,120760113,29831,0,86779628062,47220606592,321627224787,,,23331055768,87.204949992
blackscholes,gcc,native,1,0,20715387537,11504,1799,7613571,5464,0,5452209230,2948400002,20061155143,,,1475707477,5.457469047
blackscholes,gcc,native,1,1,41361372499,33852,2427,15715807,33011,0,10850918605,5917352686,40233907574,,,2906746692,10.905121922
blackscholes,gcc,native,1,2,82724914957,10510,2153,30726643,14285,0,21704771929,11815021489,80398114391,,,5834518551,21.789364657
